rosbagTimestamp,data,normality
1.57E+18,72.75,1
1.57E+18,72.79,1
1.57E+18,72.83,1
1.57E+18,72.86,1
1.57E+18,72.9,1
1.57E+18,72.93,1
1.57E+18,72.97,1
1.57E+18,306.3,0
1.57E+18,315.27,0
1.57E+18,333.01,0
1.57E+18,352.56,0
1.57E+18,4.78,0
1.57E+18,6.79,0
1.57E+18,6.86,0
1.57E+18,6.73,0
1.57E+18,6.64,0
1.57E+18,6.5,0
1.57E+18,6.38,0
1.57E+18,6.26,0
1.57E+18,6.06,0
1.57E+18,6.02,0
1.57E+18,5.88,0
1.57E+18,5.7,0
1.57E+18,4.72,0
1.57E+18,4.3,0
1.57E+18,3.88,0
1.57E+18,5.35,0
1.57E+18,4.73,0
1.57E+18,321.53,0
1.57E+18,189.99,0
1.57E+18,182.13,0
1.57E+18,157.17,0
1.57E+18,145.92,0
1.57E+18,154.16,0
1.57E+18,169.14,0
1.57E+18,190.4,0
1.57E+18,214,0
1.57E+18,238.91,0
1.57E+18,267.67,0
1.57E+18,275.05,0
1.57E+18,274.62,0
1.57E+18,270.98,0
1.57E+18,256.02,0
1.57E+18,236.5,0
