,%time,data
70,1574069804106952943,0.155
71,1574069804386204603,0.146
72,1574069804648352285,0.153
73,1574069804932092559,0.151
74,1574069805190839925,0.151
75,1574069805481864380,0.151
76,1574069805745798858,0.139
77,1574069806032493820,0.142
78,1574069806347464062,0.161
79,1574069806616315812,0.211
80,1574069806905125678,0.27
81,1574069807206547842,0.324
82,1574069807490221886,0.389
83,1574069807745739498,0.45
84,1574069808026496857,0.507
85,1574069808312414969,0.533
86,1574069808632662737,0.536
87,1574069808872151385,0.538
88,1574069809151396795,0.542
89,1574069809431748356,0.562
90,1574069809712170968,0.585
91,1574069809972142676,0.592
92,1574069810275528813,0.596
93,1574069810585512552,0.606
94,1574069810844894138,0.612
95,1574069811159558260,0.62
96,1574069811432990788,0.655
97,1574069811670473767,0.695
98,1574069811965699274,0.761
99,1574069812246926404,0.834
100,1574069812535983914,0.919
101,1574069812808043976,1.009
102,1574069813092129018,1.096
103,1574069813408306138,1.194
104,1574069813739498392,1.28
105,1574069813990454836,1.33
106,1574069814252751463,1.381
107,1574069814531434594,1.456
108,1574069814843940642,1.514
109,1574069815092720243,1.552
110,1574069815353086273,1.603
111,1574069815609949758,1.662
112,1574069815871951593,1.709
113,1574069816130332095,1.743
114,1574069816388390738,1.755
115,1574069816684348930,1.759
116,1574069816933466960,1.779
117,1574069817192020909,1.806
118,1574069817475864410,1.841
119,1574069817732808053,1.86
120,1574069817985108204,1.869
121,1574069818255254973,1.871
122,1574069818530642016,1.871
123,1574069818804376936,1.873
124,1574069819047708690,1.877
125,1574069819312878511,1.877
126,1574069819605447162,1.875
127,1574069819901078188,1.871
128,1574069820152280247,1.872
129,1574069820433670533,1.879
130,1574069820685179748,1.881
131,1574069820932576353,1.875
132,1574069821197305927,1.853
133,1574069821460326886,1.84
134,1574069821712783519,1.822
135,1574069821976768246,1.805
136,1574069822284711091,1.792
137,1574069822560150421,1.778
138,1574069822791865923,1.767
139,1574069823048059902,1.746
140,1574069823320003629,1.719
141,1574069823597012189,1.706
142,1574069823849243488,1.678
143,1574069824121726850,1.652
144,1574069824374110597,1.631
145,1574069824633101275,1.614
146,1574069824927607246,1.601
147,1574069825171525774,1.575
148,1574069825463224299,1.547
149,1574069825711647113,1.511
150,1574069825975625084,1.469
151,1574069826232249483,1.435
152,1574069826491119409,1.408
153,1574069826753537308,1.368
154,1574069827036174844,1.328
155,1574069827332596351,1.282
156,1574069827556998286,1.247
157,1574069827811890380,1.21
158,1574069828076201856,1.171
159,1574069828368367712,1.118
160,1574069828630539686,1.083
161,1574069828871611123,1.041
162,1574069829132615483,0.996
163,1574069829394354743,0.964
164,1574069829647542206,0.94
165,1574069829907273028,0.911
166,1574069830196458480,0.892
167,1574069830464850551,0.89
168,1574069830730193106,0.89
169,1574069830990244012,0.906
170,1574069831288834254,0.922
171,1574069831534355502,0.932
172,1574069831819386204,0.946
173,1574069832091055450,0.954
174,1574069832369412972,0.951
175,1574069832655759225,0.962
176,1574069832889697097,0.967
177,1574069833144435770,0.967
178,1574069833413860907,0.976
179,1574069833693774484,0.98
180,1574069833951952519,0.974
181,1574069834243240262,0.973
182,1574069834516412604,0.976
183,1574069834806727894,0.972
184,1574069835019448474,0.973
185,1574069835275921241,0.976
186,1574069835536672064,0.977
187,1574069835794504982,0.979
188,1574069836057065317,0.985
189,1574069836306841684,0.993
190,1574069836575391965,1.005
191,1574069836832362286,1.01
192,1574069837120668667,1.004
193,1574069837409246086,1.001
194,1574069837646685822,1.004
195,1574069837895145634,1.007
196,1574069838156921738,1.012
197,1574069838410793840,1.027
198,1574069838671743025,1.042
199,1574069838929504607,1.055
200,1574069839190168562,1.062
201,1574069839451656529,1.066
202,1574069839710170994,1.07
203,1574069840003748959,1.081
204,1574069840296097298,1.093
205,1574069840558563109,1.104
206,1574069840830198594,1.11
207,1574069841081439615,1.112
208,1574069841333095082,1.112
209,1574069841611687669,1.111
210,1574069841876340036,1.103
211,1574069842136000303,1.084
212,1574069842388474651,1.074
213,1574069842685197512,1.059
214,1574069842984226237,1.037
215,1574069843227390742,1.019
216,1574069843512234783,1.001
217,1574069843792865342,0.978
218,1574069844045174335,0.965
219,1574069844311853009,0.928
220,1574069844629775548,0.886
221,1574069844838722892,0.84
222,1574069845092677857,0.764
223,1574069845348901987,0.655
224,1574069845611985920,0.534
225,1574069845928005545,0.403
226,1574069846172462786,0.298
227,1574069846432662535,0.226
228,1574069846669785000,0.189
229,1574069846910664812,0.139
230,1574069847147057772,0.062
231,1574069847393009926,-0.047
232,1574069847630339552,-0.168
233,1574069847873392761,-0.269
234,1574069848109593400,-0.364
235,1574069848353121672,-0.445
236,1574069848591846349,-0.514
237,1574069848829835025,-0.557
238,1574069849072757034,-0.569
239,1574069849310512254,-0.557
240,1574069849552250716,-0.535
241,1574069849791390526,-0.508
242,1574069850028165917,-0.479
243,1574069850266862935,-0.45
244,1574069850512379568,-0.423
245,1574069850750072189,-0.394
246,1574069850990190976,-0.365
247,1574069851231278367,-0.342
248,1574069851469546180,-0.315
249,1574069851710468160,-0.288
250,1574069851946816898,-0.262
251,1574069852192570996,-0.241
252,1574069852429949608,-0.218
253,1574069852666131928,-0.192
254,1574069852911617719,-0.181
255,1574069853150065193,-0.172
256,1574069853390011524,-0.16
257,1574069853631832389,-0.145
258,1574069853870639008,-0.139
259,1574069854109956369,-0.136
260,1574069854353095891,-0.128
261,1574069854591513261,-0.119
262,1574069854831935941,-0.117
263,1574069855069747611,-0.116
264,1574069855310922852,-0.119
265,1574069855549997278,-0.119
266,1574069855792553807,-0.12
267,1574069856030118390,-0.128
268,1574069856271026216,-0.141
269,1574069856509691149,-0.154
270,1574069856750165526,-0.167
271,1574069856992121958,-0.186
272,1574069857227160677,-0.204
273,1574069857470114269,-0.213
274,1574069857712680168,-0.223
275,1574069857949133060,-0.232
276,1574069858190172472,-0.238
277,1574069858429574770,-0.246
278,1574069858672207685,-0.252
279,1574069858911732425,-0.259
280,1574069859151739265,-0.268
281,1574069859389167289,-0.276
282,1574069859631089045,-0.28
283,1574069859871132761,-0.284
284,1574069860110116966,-0.294
285,1574069860352898763,-0.303
286,1574069860592332224,-0.308
287,1574069860830775366,-0.309
288,1574069861064474607,-0.312
289,1574069861310971690,-0.313
290,1574069861549211314,-0.303
291,1574069861789356129,-0.292
292,1574069862030117786,-0.289
293,1574069862271721027,-0.284
294,1574069862511945275,-0.275
295,1574069862745606958,-0.266
296,1574069862989694055,-0.261
297,1574069863229336336,-0.254
298,1574069863471927891,-0.24
299,1574069863711578227,-0.226
300,1574069863952644544,-0.215
301,1574069864190891162,-0.2
302,1574069864428609792,-0.183
303,1574069864674832486,-0.163
304,1574069864911105568,-0.154
0,1574069785712541572,-0.863
1,1574069785952278800,-0.881
2,1574069786192724522,-0.897
3,1574069786433272489,-0.908
4,1574069786666903920,-0.916
5,1574069786912711525,-0.931
6,1574069787152271333,-0.947
7,1574069787393200300,-0.96
8,1574069787635832352,-0.966
9,1574069787875292596,-0.972
10,1574069788112820257,-0.978
11,1574069788353904948,-0.981
12,1574069788589966951,-0.979
13,1574069788832670941,-0.986
14,1574069789072355593,-0.995
15,1574069789313023970,-0.995
16,1574069789546516869,-0.994
17,1574069789792367544,-0.998
18,1574069790032456528,-0.999
19,1574069790272492031,-0.997
20,1574069790512131578,-0.997
21,1574069790751886610,-0.997
22,1574069790992413163,-1.003
23,1574069791230968729,-1.008
24,1574069791471450076,-1.002
25,1574069791710191978,-0.997
26,1574069791951752305,-0.996
27,1574069792192380676,-0.996
28,1574069792430019181,-0.993
29,1574069792670771912,-0.984
30,1574069792908080154,-0.978
31,1574069793151732083,-0.973
32,1574069793390454516,-0.964
33,1574069793630430339,-0.952
34,1574069793911170730,0.027
35,1574069794212621475,0.047
36,1574069794523664670,0.069
37,1574069794793132346,0.079
38,1574069795072537940,0.087
39,1574069795353187997,0.097
40,1574069795674316395,0.118
41,1574069795916524902,0.129
42,1574069796200069574,0.133
43,1574069796467201860,0.145
44,1574069796753897977,0.161
45,1574069797034614269,0.171
46,1574069797339348317,0.186
47,1574069797614384355,0.204
48,1574069797883834447,0.216
49,1574069798172953154,0.218
50,1574069798434061116,0.217
51,1574069798697020538,0.217
52,1574069798995392326,0.212
53,1574069799271623477,0.21
54,1574069799557429220,0.206
55,1574069799833435570,0.196
56,1574069800126755111,0.182
57,1574069800430694396,0.169
58,1574069800696092166,0.167
59,1574069800972607606,0.161
60,1574069801279385423,0.157
61,1574069801548725142,0.162
62,1574069801832282302,0.17
63,1574069802133187841,0.177
64,1574069802411656409,0.185
65,1574069802687348337,0.192
66,1574069802972049069,0.196
67,1574069803227665499,0.189
68,1574069803508979377,0.185
69,1574069803832237915,0.171
70,1574069804106952943,0.155
71,1574069804386204603,0.146
72,1574069804648352285,0.153
73,1574069804932092559,0.151
74,1574069805190839925,0.151
75,1574069805481864380,0.151
76,1574069805745798858,0.139
77,1574069806032493820,0.142
78,1574069806347464062,0.161
79,1574069806616315812,0.211
80,1574069806905125678,0.27
81,1574069807206547842,0.324
82,1574069807490221886,0.389
83,1574069807745739498,0.45
84,1574069808026496857,0.507
85,1574069808312414969,0.533
86,1574069808632662737,0.536
87,1574069808872151385,0.538
88,1574069809151396795,0.542
89,1574069809431748356,0.562
90,1574069809712170968,0.585
91,1574069809972142676,0.592
92,1574069810275528813,0.596
93,1574069810585512552,0.606
94,1574069810844894138,0.612
95,1574069811159558260,0.62
96,1574069811432990788,0.655
97,1574069811670473767,0.695
98,1574069811965699274,0.761
99,1574069812246926404,0.834
100,1574069812535983914,0.919
101,1574069812808043976,1.009
102,1574069813092129018,1.096
103,1574069813408306138,1.194
104,1574069813739498392,1.28
105,1574069813990454836,1.33
106,1574069814252751463,1.381
107,1574069814531434594,1.456
108,1574069814843940642,1.514
109,1574069815092720243,1.552
110,1574069815353086273,1.603
111,1574069815609949758,1.662
112,1574069815871951593,1.709
113,1574069816130332095,1.743
114,1574069816388390738,1.755
115,1574069816684348930,1.759
116,1574069816933466960,1.779
117,1574069817192020909,1.806
118,1574069817475864410,1.841
119,1574069817732808053,1.86
120,1574069817985108204,1.869
121,1574069818255254973,1.871
122,1574069818530642016,1.871
123,1574069818804376936,1.873
124,1574069819047708690,1.877
125,1574069819312878511,1.877
126,1574069819605447162,1.875
127,1574069819901078188,1.871
128,1574069820152280247,1.872
129,1574069820433670533,1.879
130,1574069820685179748,1.881
131,1574069820932576353,1.875
132,1574069821197305927,1.853
133,1574069821460326886,1.84
134,1574069821712783519,1.822
135,1574069821976768246,1.805
136,1574069822284711091,1.792
137,1574069822560150421,1.778
138,1574069822791865923,1.767
139,1574069823048059902,1.746
140,1574069823320003629,1.719
141,1574069823597012189,1.706
142,1574069823849243488,1.678
143,1574069824121726850,1.652
144,1574069824374110597,1.631
145,1574069824633101275,1.614
146,1574069824927607246,1.601
147,1574069825171525774,1.575
148,1574069825463224299,1.547
149,1574069825711647113,1.511
150,1574069825975625084,1.469
151,1574069826232249483,1.435
152,1574069826491119409,1.408
153,1574069826753537308,1.368
154,1574069827036174844,1.328
155,1574069827332596351,1.282
156,1574069827556998286,1.247
157,1574069827811890380,1.21
158,1574069828076201856,1.171
159,1574069828368367712,1.118
160,1574069828630539686,1.083
161,1574069828871611123,1.041
162,1574069829132615483,0.996
163,1574069829394354743,0.964
164,1574069829647542206,0.94
165,1574069829907273028,0.911
166,1574069830196458480,0.892
167,1574069830464850551,0.89
168,1574069830730193106,0.89
169,1574069830990244012,0.906
170,1574069831288834254,0.922
171,1574069831534355502,0.932
172,1574069831819386204,0.946
173,1574069832091055450,0.954
174,1574069832369412972,0.951
175,1574069832655759225,0.962
176,1574069832889697097,0.967
177,1574069833144435770,0.967
178,1574069833413860907,0.976
179,1574069833693774484,0.98
180,1574069833951952519,0.974
181,1574069834243240262,0.973
182,1574069834516412604,0.976
183,1574069834806727894,0.972
184,1574069835019448474,0.973
185,1574069835275921241,0.976
186,1574069835536672064,0.977
187,1574069835794504982,0.979
188,1574069836057065317,0.985
189,1574069836306841684,0.993
190,1574069836575391965,1.005
191,1574069836832362286,1.01
192,1574069837120668667,1.004
193,1574069837409246086,1.001
194,1574069837646685822,1.004
195,1574069837895145634,1.007
196,1574069838156921738,1.012
197,1574069838410793840,1.027
198,1574069838671743025,1.042
199,1574069838929504607,1.055
200,1574069839190168562,1.062
201,1574069839451656529,1.066
202,1574069839710170994,1.07
203,1574069840003748959,1.081
204,1574069840296097298,1.093
205,1574069840558563109,1.104
206,1574069840830198594,1.11
207,1574069841081439615,1.112
208,1574069841333095082,1.112
209,1574069841611687669,1.111
210,1574069841876340036,1.103
211,1574069842136000303,1.084
212,1574069842388474651,1.074
213,1574069842685197512,1.059
214,1574069842984226237,1.037
215,1574069843227390742,1.019
216,1574069843512234783,1.001
217,1574069843792865342,0.978
218,1574069844045174335,0.965
219,1574069844311853009,0.928
220,1574069844629775548,0.886
221,1574069844838722892,0.84
222,1574069845092677857,0.764
223,1574069845348901987,0.655
224,1574069845611985920,0.534
225,1574069845928005545,0.403
226,1574069846172462786,0.298
227,1574069846432662535,0.226
228,1574069846669785000,0.189
229,1574069846910664812,0.139
230,1574069847147057772,0.062
231,1574069847393009926,-0.047
232,1574069847630339552,-0.168
233,1574069847873392761,-0.269
234,1574069848109593400,-0.364
235,1574069848353121672,-0.445
236,1574069848591846349,-0.514
237,1574069848829835025,-0.557
238,1574069849072757034,-0.569
239,1574069849310512254,-0.557
240,1574069849552250716,-0.535
241,1574069849791390526,-0.508
242,1574069850028165917,-0.479
243,1574069850266862935,-0.45
244,1574069850512379568,-0.423
245,1574069850750072189,-0.394
246,1574069850990190976,-0.365
247,1574069851231278367,-0.342
248,1574069851469546180,-0.315
249,1574069851710468160,-0.288
250,1574069851946816898,-0.262
251,1574069852192570996,-0.241
252,1574069852429949608,-0.218
253,1574069852666131928,-0.192
254,1574069852911617719,-0.181
255,1574069853150065193,-0.172
256,1574069853390011524,-0.16
257,1574069853631832389,-0.145
258,1574069853870639008,-0.139
259,1574069854109956369,-0.136
260,1574069854353095891,-0.128
261,1574069854591513261,-0.119
262,1574069854831935941,-0.117
263,1574069855069747611,-0.116
264,1574069855310922852,-0.119
265,1574069855549997278,-0.119
266,1574069855792553807,-0.12
267,1574069856030118390,-0.128
268,1574069856271026216,-0.141
269,1574069856509691149,-0.154
270,1574069856750165526,-0.167
271,1574069856992121958,-0.186
272,1574069857227160677,-0.204
273,1574069857470114269,-0.213
274,1574069857712680168,-0.223
275,1574069857949133060,-0.232
276,1574069858190172472,-0.238
277,1574069858429574770,-0.246
278,1574069858672207685,-0.252
279,1574069858911732425,-0.259
280,1574069859151739265,-0.268
281,1574069859389167289,-0.276
282,1574069859631089045,-0.28
283,1574069859871132761,-0.284
284,1574069860110116966,-0.294
285,1574069860352898763,-0.303
286,1574069860592332224,-0.308
287,1574069860830775366,-0.309
288,1574069861064474607,-0.312
289,1574069861310971690,-0.313
290,1574069861549211314,-0.303
291,1574069861789356129,-0.292
292,1574069862030117786,-0.289
293,1574069862271721027,-0.284
294,1574069862511945275,-0.275
295,1574069862745606958,-0.266
296,1574069862989694055,-0.261
297,1574069863229336336,-0.254
298,1574069863471927891,-0.24
299,1574069863711578227,-0.226
300,1574069863952644544,-0.215
301,1574069864190891162,-0.2
302,1574069864428609792,-0.183
303,1574069864674832486,-0.163
304,1574069864911105568,-0.154
0,1574069785712541572,-0.863
1,1574069785952278800,-0.881
2,1574069786192724522,-0.897
3,1574069786433272489,-0.908
4,1574069786666903920,-0.916
5,1574069786912711525,-0.931
6,1574069787152271333,-0.947
7,1574069787393200300,-0.96
8,1574069787635832352,-0.966
9,1574069787875292596,-0.972
10,1574069788112820257,-0.978
11,1574069788353904948,-0.981
12,1574069788589966951,-0.979
13,1574069788832670941,-0.986
14,1574069789072355593,-0.995
15,1574069789313023970,-0.995
16,1574069789546516869,-0.994
17,1574069789792367544,-0.998
18,1574069790032456528,-0.999
19,1574069790272492031,-0.997
20,1574069790512131578,-0.997
21,1574069790751886610,-0.997
22,1574069790992413163,-1.003
23,1574069791230968729,-1.008
24,1574069791471450076,-1.002
25,1574069791710191978,-0.997
26,1574069791951752305,-0.996
27,1574069792192380676,-0.996
28,1574069792430019181,-0.993
29,1574069792670771912,-0.984
30,1574069792908080154,-0.978
31,1574069793151732083,-0.973
32,1574069793390454516,-0.964
33,1574069793630430339,-0.952
34,1574069793911170730,0.027
35,1574069794212621475,0.047
36,1574069794523664670,0.069
37,1574069794793132346,0.079
38,1574069795072537940,0.087
39,1574069795353187997,0.097
40,1574069795674316395,0.118
41,1574069795916524902,0.129
42,1574069796200069574,0.133
43,1574069796467201860,0.145
44,1574069796753897977,0.161
45,1574069797034614269,0.171
46,1574069797339348317,0.186
47,1574069797614384355,0.204
48,1574069797883834447,0.216
49,1574069798172953154,0.218
50,1574069798434061116,0.217
51,1574069798697020538,0.217
52,1574069798995392326,0.212
53,1574069799271623477,0.21
54,1574069799557429220,0.206
55,1574069799833435570,0.196
56,1574069800126755111,0.182
57,1574069800430694396,0.169
58,1574069800696092166,0.167
59,1574069800972607606,0.161
60,1574069801279385423,0.157
61,1574069801548725142,0.162
62,1574069801832282302,0.17
63,1574069802133187841,0.177
64,1574069802411656409,0.185
65,1574069802687348337,0.192
66,1574069802972049069,0.196
67,1574069803227665499,0.189
68,1574069803508979377,0.185
69,1574069803832237915,0.171
70,1574069804106952943,0.155
71,1574069804386204603,0.146
72,1574069804648352285,0.153
73,1574069804932092559,0.151
74,1574069805190839925,0.151
75,1574069805481864380,0.151
76,1574069805745798858,0.139
77,1574069806032493820,0.142
78,1574069806347464062,0.161
79,1574069806616315812,0.211
80,1574069806905125678,0.27
81,1574069807206547842,0.324
82,1574069807490221886,0.389
83,1574069807745739498,0.45
84,1574069808026496857,0.507
85,1574069808312414969,0.533
86,1574069808632662737,0.536
87,1574069808872151385,0.538
88,1574069809151396795,0.542
89,1574069809431748356,0.562
90,1574069809712170968,0.585
91,1574069809972142676,0.592
92,1574069810275528813,0.596
93,1574069810585512552,0.606
94,1574069810844894138,0.612
95,1574069811159558260,0.62
96,1574069811432990788,0.655
97,1574069811670473767,0.695
98,1574069811965699274,0.761
99,1574069812246926404,0.834
100,1574069812535983914,0.919
101,1574069812808043976,1.009
102,1574069813092129018,1.096
103,1574069813408306138,1.194
104,1574069813739498392,1.28
105,1574069813990454836,1.33
106,1574069814252751463,1.381
107,1574069814531434594,1.456
108,1574069814843940642,1.514
109,1574069815092720243,1.552
110,1574069815353086273,1.603
111,1574069815609949758,1.662
112,1574069815871951593,1.709
113,1574069816130332095,1.743
114,1574069816388390738,1.755
115,1574069816684348930,1.759
116,1574069816933466960,1.779
117,1574069817192020909,1.806
118,1574069817475864410,1.841
119,1574069817732808053,1.86
120,1574069817985108204,1.869
121,1574069818255254973,1.871
122,1574069818530642016,1.871
123,1574069818804376936,1.873
124,1574069819047708690,1.877
125,1574069819312878511,1.877
126,1574069819605447162,1.875
127,1574069819901078188,1.871
128,1574069820152280247,1.872
129,1574069820433670533,1.879
130,1574069820685179748,1.881
131,1574069820932576353,1.875
132,1574069821197305927,1.853
133,1574069821460326886,1.84
134,1574069821712783519,1.822
135,1574069821976768246,1.805
136,1574069822284711091,1.792
137,1574069822560150421,1.778
138,1574069822791865923,1.767
139,1574069823048059902,1.746
140,1574069823320003629,1.719
141,1574069823597012189,1.706
142,1574069823849243488,1.678
143,1574069824121726850,1.652
144,1574069824374110597,1.631
145,1574069824633101275,1.614
146,1574069824927607246,1.601
147,1574069825171525774,1.575
148,1574069825463224299,1.547
149,1574069825711647113,1.511
150,1574069825975625084,1.469
151,1574069826232249483,1.435
152,1574069826491119409,1.408
153,1574069826753537308,1.368
154,1574069827036174844,1.328
155,1574069827332596351,1.282
156,1574069827556998286,1.247
157,1574069827811890380,1.21
158,1574069828076201856,1.171
159,1574069828368367712,1.118
160,1574069828630539686,1.083
161,1574069828871611123,1.041
162,1574069829132615483,0.996
163,1574069829394354743,0.964
164,1574069829647542206,0.94
165,1574069829907273028,0.911
166,1574069830196458480,0.892
167,1574069830464850551,0.89
168,1574069830730193106,0.89
169,1574069830990244012,0.906
170,1574069831288834254,0.922
171,1574069831534355502,0.932
172,1574069831819386204,0.946
173,1574069832091055450,0.954
174,1574069832369412972,0.951
175,1574069832655759225,0.962
176,1574069832889697097,0.967
177,1574069833144435770,0.967
178,1574069833413860907,0.976
179,1574069833693774484,0.98
180,1574069833951952519,0.974
181,1574069834243240262,0.973
182,1574069834516412604,0.976
183,1574069834806727894,0.972
184,1574069835019448474,0.973
185,1574069835275921241,0.976
186,1574069835536672064,0.977
187,1574069835794504982,0.979
188,1574069836057065317,0.985
189,1574069836306841684,0.993
190,1574069836575391965,1.005
191,1574069836832362286,1.01
192,1574069837120668667,1.004
193,1574069837409246086,1.001
194,1574069837646685822,1.004
195,1574069837895145634,1.007
196,1574069838156921738,1.012
197,1574069838410793840,1.027
198,1574069838671743025,1.042
199,1574069838929504607,1.055
200,1574069839190168562,1.062
201,1574069839451656529,1.066
202,1574069839710170994,1.07
203,1574069840003748959,1.081
204,1574069840296097298,1.093
205,1574069840558563109,1.104
206,1574069840830198594,1.11
207,1574069841081439615,1.112
208,1574069841333095082,1.112
209,1574069841611687669,1.111
210,1574069841876340036,1.103
211,1574069842136000303,1.084
212,1574069842388474651,1.074
213,1574069842685197512,1.059
214,1574069842984226237,1.037
215,1574069843227390742,1.019
216,1574069843512234783,1.001
217,1574069843792865342,0.978
218,1574069844045174335,0.965
219,1574069844311853009,0.928
220,1574069844629775548,0.886
221,1574069844838722892,0.84
222,1574069845092677857,0.764
223,1574069845348901987,0.655
224,1574069845611985920,0.534
225,1574069845928005545,0.403
226,1574069846172462786,0.298
227,1574069846432662535,0.226
228,1574069846669785000,0.189
229,1574069846910664812,0.139
230,1574069847147057772,0.062
231,1574069847393009926,-0.047
232,1574069847630339552,-0.168
233,1574069847873392761,-0.269
234,1574069848109593400,-0.364
235,1574069848353121672,-0.445
236,1574069848591846349,-0.514
237,1574069848829835025,-0.557
238,1574069849072757034,-0.569
239,1574069849310512254,-0.557
240,1574069849552250716,-0.535
241,1574069849791390526,-0.508
242,1574069850028165917,-0.479
243,1574069850266862935,-0.45
244,1574069850512379568,-0.423
245,1574069850750072189,-0.394
246,1574069850990190976,-0.365
247,1574069851231278367,-0.342
248,1574069851469546180,-0.315
249,1574069851710468160,-0.288
250,1574069851946816898,-0.262
251,1574069852192570996,-0.241
252,1574069852429949608,-0.218
253,1574069852666131928,-0.192
254,1574069852911617719,-0.181
255,1574069853150065193,-0.172
256,1574069853390011524,-0.16
257,1574069853631832389,-0.145
258,1574069853870639008,-0.139
259,1574069854109956369,-0.136
260,1574069854353095891,-0.128
261,1574069854591513261,-0.119
262,1574069854831935941,-0.117
263,1574069855069747611,-0.116
264,1574069855310922852,-0.119
265,1574069855549997278,-0.119
266,1574069855792553807,-0.12
267,1574069856030118390,-0.128
268,1574069856271026216,-0.141
269,1574069856509691149,-0.154
270,1574069856750165526,-0.167
271,1574069856992121958,-0.186
272,1574069857227160677,-0.204
273,1574069857470114269,-0.213
274,1574069857712680168,-0.223
275,1574069857949133060,-0.232
276,1574069858190172472,-0.238
277,1574069858429574770,-0.246
278,1574069858672207685,-0.252
279,1574069858911732425,-0.259
280,1574069859151739265,-0.268
281,1574069859389167289,-0.276
282,1574069859631089045,-0.28
283,1574069859871132761,-0.284
284,1574069860110116966,-0.294
285,1574069860352898763,-0.303
286,1574069860592332224,-0.308
287,1574069860830775366,-0.309
288,1574069861064474607,-0.312
289,1574069861310971690,-0.313
290,1574069861549211314,-0.303
291,1574069861789356129,-0.292
292,1574069862030117786,-0.289
293,1574069862271721027,-0.284
294,1574069862511945275,-0.275
295,1574069862745606958,-0.266
296,1574069862989694055,-0.261
297,1574069863229336336,-0.254
298,1574069863471927891,-0.24
299,1574069863711578227,-0.226
300,1574069863952644544,-0.215
301,1574069864190891162,-0.2
302,1574069864428609792,-0.183
303,1574069864674832486,-0.163
304,1574069864911105568,-0.154
0,1574069785712541572,-0.863
1,1574069785952278800,-0.881
2,1574069786192724522,-0.897
3,1574069786433272489,-0.908
4,1574069786666903920,-0.916
5,1574069786912711525,-0.931
6,1574069787152271333,-0.947
7,1574069787393200300,-0.96
8,1574069787635832352,-0.966
9,1574069787875292596,-0.972
10,1574069788112820257,-0.978
11,1574069788353904948,-0.981
12,1574069788589966951,-0.979
13,1574069788832670941,-0.986
14,1574069789072355593,-0.995
15,1574069789313023970,-0.995
16,1574069789546516869,-0.994
17,1574069789792367544,-0.998
18,1574069790032456528,-0.999
19,1574069790272492031,-0.997
20,1574069790512131578,-0.997
21,1574069790751886610,-0.997
22,1574069790992413163,-1.003
23,1574069791230968729,-1.008
24,1574069791471450076,-1.002
25,1574069791710191978,-0.997
26,1574069791951752305,-0.996
27,1574069792192380676,-0.996
28,1574069792430019181,-0.993
29,1574069792670771912,-0.984
30,1574069792908080154,-0.978
31,1574069793151732083,-0.973
32,1574069793390454516,-0.964
33,1574069793630430339,-0.952
34,1574069793911170730,0.027
35,1574069794212621475,0.047
36,1574069794523664670,0.069
37,1574069794793132346,0.079
38,1574069795072537940,0.087
39,1574069795353187997,0.097
40,1574069795674316395,0.118
41,1574069795916524902,0.129
42,1574069796200069574,0.133
43,1574069796467201860,0.145
44,1574069796753897977,0.161
45,1574069797034614269,0.171
46,1574069797339348317,0.186
47,1574069797614384355,0.204
48,1574069797883834447,0.216
49,1574069798172953154,0.218
50,1574069798434061116,0.217
51,1574069798697020538,0.217
52,1574069798995392326,0.212
53,1574069799271623477,0.21
54,1574069799557429220,0.206
55,1574069799833435570,0.196
56,1574069800126755111,0.182
57,1574069800430694396,0.169
